Subject,Body,Sender,Received Date,Due Date
Weekly Sync-Up,Process vendor payments,travel@company.com,2024-11-27,2024-12-08
Feedback Request,Install updates,finance@company.com,2024-12-01,2024-12-07
Client Proposal,Submit Q4 invoice,travel@company.com,2024-11-28,2024-12-13
Event RSVP,Provide feedback on report,admin@company.com,2024-12-04,2024-12-13
Event RSVP,Sync on project updates,manager@company.com,2024-12-04,2024-12-09
Meeting Reminder,Confirm holiday schedule,admin@company.com,2024-11-28,2024-12-07
Contract Renewal,Sync on project updates,manager@company.com,2024-11-25,2024-12-04
Quarterly Review,Submit Q4 invoice,it@company.com,2024-12-03,2024-12-17
System Update,Schedule review meeting,ceo@company.com,2024-11-29,2024-12-03
Office Maintenance,Review agenda for meeting,training@company.com,2024-11-27,2024-11-29
Client Follow-Up,Submit travel plans,admin@company.com,2024-12-05,2024-12-09
Policy Review,Review agenda for meeting,admin@company.com,2024-12-05,2024-12-10
Policy Review,Discuss project updates,admin@company.com,2024-12-05,2024-12-10
Client Proposal,Prepare client proposal,manager@company.com,2024-12-03,2024-12-15
Team Meeting,Share training feedback,it@company.com,2024-12-03,2024-12-09
Policy Update,Process vendor payments,legal@company.com,2024-11-28,2024-12-08
Team Meeting,Install updates,legal@company.com,2024-12-03,2024-12-12
Vendor Invoice,Request office maintenance,team@company.com,2024-12-05,2024-12-16
System Maintenance,Review new company policies,marketing@company.com,2024-11-26,2024-12-02
HR Announcement,Prepare client proposal,admin@company.com,2024-12-04,2024-12-19
Vendor Invoice,Request office maintenance,it@company.com,2024-11-29,2024-12-06
Leave Request,Approve final budget,events@company.com,2024-11-26,2024-12-03
Meeting Agenda,Finalize marketing plan,finance@company.com,2024-11-26,2024-11-30
Client Proposal,Share training feedback,hr@company.com,2024-11-25,2024-12-05
Training Invitation,Process vendor payments,events@company.com,2024-11-27,2024-12-02
System Maintenance,Submit Q4 invoice,hr@company.com,2024-12-03,2024-12-17
