Subject,Body,Sender,Received Date,Due Date,Priority
Travel Itinerary,Share training feedback,ceo@company.com,2024-11-25,2024-11-26,High Priority
Leave Request,Prepare client proposal,hr@company.com,2024-11-26,2024-11-27,High Priority
HR Announcement,Plan kickoff meeting,admin@company.com,2024-11-25,2024-11-27,High Priority
Meeting Reminder,Follow up with client,manager@company.com,2024-11-25,2024-11-27,High Priority
Vendor Invoice,Review new company policies,training@company.com,2024-11-26,2024-11-28,High Priority
Vendor Invoice,Plan kickoff meeting,manager@company.com,2024-11-26,2024-11-28,High Priority
Project Kickoff,Prepare client proposal,team@company.com,2024-11-27,2024-11-29,High Priority
Travel Itinerary,Complete the draft,manager@company.com,2024-11-28,2024-11-29,High Priority
Weekly Sync-Up,Schedule review meeting,manager@company.com,2024-11-28,2024-11-29,High Priority
Vendor Invoice,Complete the draft,manager@company.com,2024-11-28,2024-11-29,High Priority
Training Invitation,Submit travel plans,legal@company.com,2024-11-28,2024-11-29,High Priority
Team Meeting,Approve final budget,it@company.com,2024-11-28,2024-11-29,High Priority
Vendor Invoice,Reply to invitation,admin@company.com,2024-11-28,2024-11-29,High Priority
Office Maintenance,Review agenda for meeting,training@company.com,2024-11-27,2024-11-29,High Priority
Budget Approval,Renew vendor contracts,admin@company.com,2024-11-25,2024-11-29,High Priority
Employee Survey,Discuss project updates,marketing@company.com,2024-11-29,2024-11-30,High Priority
Meeting Agenda,Finalize marketing plan,finance@company.com,2024-11-26,2024-11-30,High Priority
Event RSVP,Discuss project updates,finance@company.com,2024-11-25,2024-11-30,High Priority
Travel Itinerary,Confirm holiday schedule,it@company.com,2024-11-28,2024-11-30,High Priority
Client Proposal,Discuss quarterly goals,finance@company.com,2024-11-26,2024-11-30,High Priority
Training Invitation,Discuss quarterly goals,legal@company.com,2024-11-26,2024-11-30,High Priority
Policy Update,Process vendor payments,team@company.com,2024-11-25,2024-12-01,High Priority
Policy Update,Prepare client proposal,travel@company.com,2024-11-27,2024-12-01,High Priority
Event RSVP,Schedule review meeting,ceo@company.com,2024-11-25,2024-12-01,High Priority
Holiday Plans,Complete the draft,travel@company.com,2024-11-29,2024-12-01,High Priority
Invoice Submission,Schedule maintenance window,events@company.com,2024-11-30,2024-12-01,High Priority
Feedback Request,Finalize marketing plan,events@company.com,2024-11-28,2024-12-01,High Priority
Team Meeting,Submit Q4 invoice,it@company.com,2024-11-28,2024-12-01,High Priority
